user_id,movie_id,watch_time,device,timestamp
U0339,M0048,27,Laptop,2025-04-12 20:56:20.331125
U0227,M0153,21,Laptop,2025-04-25 05:47:21.356366
U0883,M0107,61,Console,2025-04-02 07:09:54.044497
U0221,M0046,31,Mobile,2025-04-16 21:40:53.139851
U0839,M0037,27,Console,2025-03-31 14:45:19.547833
U0630,M0157,85,Laptop,2025-04-19 11:26:34.047717
U0055,M0189,54,Smart TV,2025-04-06 04:21:49.192151
U0263,M0110,62,Laptop,2025-04-14 21:21:52.569602
U0466,M0119,178,Mobile,2025-04-23 15:55:46.636907
U0754,M0196,86,Tablet,2025-04-21 23:05:51.381951
U0163,M0090,129,Laptop,2025-04-27 00:30:10.690574
U0252,M0121,83,Mobile,2025-04-16 12:24:42.450727
U0341,M0052,71,Laptop,2025-04-22 22:24:12.964237
U0315,M0169,135,Smart TV,2025-04-18 17:11:09.900784
U0877,M0108,99,Smart TV,2025-04-24 03:43:24.734563
U0135,M0057,139,Console,2025-04-29 23:05:23.520743
U0285,M0126,162,Smart TV,2025-04-05 18:03:48.338805
U0397,M0156,116,Desktop,2025-04-18 13:59:23.298937
U0342,M0003,178,Desktop,2025-04-24 09:07:18.357684
U0446,M0097,29,Desktop,2025-03-31 14:30:37.739618
U0641,M0170,104,Laptop,2025-04-13 22:47:23.970228
U0904,M0176,132,Smart TV,2025-04-14 15:34:18.481160
U0150,M0011,25,Tablet,2025-04-15 02:08:45.092553
U0579,M0173,156,Console,2025-04-09 17:43:35.057912
U0106,M0050,48,Mobile,2025-04-09 10:25:53.241180
U0677,M0080,176,Smart TV,2025-04-22 14:22:12.562120
U0964,M0190,141,Tablet,2025-04-24 15:37:48.100484
U0544,M0101,89,Desktop,2025-04-18 07:09:51.319712
U0670,M0183,24,Mobile,2025-04-20 20:01:41.025307
U0957,M0170,128,Mobile,2025-04-08 21:57:25.569896
U0769,M0151,31,Laptop,2025-04-19 13:08:30.608424
U0521,M0110,138,Tablet,2025-04-22 02:13:36.084757
U0270,M0020,104,Tablet,2025-04-09 19:09:37.460108
U0968,M0154,57,Laptop,2025-04-06 06:23:34.187632
U0093,M0038,9,Tablet,2025-03-31 05:24:56.479218
U0842,M0150,65,Smart TV,2025-04-15 18:43:13.070587
U0026,M0072,16,Laptop,2025-04-18 23:53:28.276272
U0090,M0152,163,Console,2025-04-05 02:51:26.330297
U0653,M0166,147,Console,2025-04-04 23:01:20.098881
U0872,M0138,149,Mobile,2025-04-28 04:12:02.363784
U0535,M0119,55,Desktop,2025-04-11 00:28:35.831824
U0012,M0002,37,Desktop,2025-04-10 04:30:15.720144
U0830,M0168,128,Tablet,2025-04-09 02:25:57.271193
U0172,M0189,12,Smart TV,2025-04-26 20:34:54.424421
U0231,M0037,10,Mobile,2025-04-08 22:39:44.933712
U0518,M0126,107,Laptop,2025-04-16 16:16:09.101513
U0834,M0130,114,Smart TV,2025-04-26 04:39:37.342732
U0705,M0036,35,Console,2025-04-10 10:15:11.893195
U0497,M0183,137,Laptop,2025-04-30 03:39:12.671047
U0961,M0178,145,Laptop,2025-04-29 03:23:59.632730
U0294,M0175,138,Tablet,2025-04-18 04:08:45.454629
U0237,M0022,43,Laptop,2025-04-08 20:37:28.596553
U0777,M0124,125,Desktop,2025-04-24 06:48:39.849414
U0332,M0054,166,Tablet,2025-04-02 04:01:55.697002
U0478,M0047,162,Mobile,2025-04-01 05:44:23.896051
U0476,M0118,103,Smart TV,2025-04-04 07:48:35.538532
U0759,M0166,22,Desktop,2025-04-13 02:36:01.285583
U0230,M0087,16,Laptop,2025-04-24 17:24:54.591934
U0750,M0089,28,Console,2025-04-28 17:59:34.857876
U0509,M0053,81,Smart TV,2025-04-03 03:12:16.496059
U0246,M0001,60,Console,2025-04-23 13:32:26.257246
U0809,M0097,51,Console,2025-04-09 01:08:38.579547
U0670,M0037,110,Tablet,2025-04-29 13:49:30.974682
U0007,M0124,96,Laptop,2025-03-31 19:48:36.352184
U0694,M0006,29,Mobile,2025-04-26 13:51:07.502610
U0994,M0157,158,Desktop,2025-04-25 07:24:59.059796
U0386,M0144,126,Laptop,2025-04-02 10:05:44.631650
U0797,M0126,65,Laptop,2025-04-03 01:25:10.862998
U0541,M0118,109,Smart TV,2025-04-28 08:48:37.495385
U0616,M0088,16,Smart TV,2025-04-17 23:32:16.236175
U0500,M0085,157,Mobile,2025-04-22 00:04:33.518592
U0830,M0073,97,Laptop,2025-04-02 04:41:12.177437
U0244,M0021,169,Laptop,2025-04-01 20:49:53.427679
U0673,M0156,70,Console,2025-04-12 08:53:39.633970
U0178,M0001,156,Console,2025-04-02 12:37:34.888704
U0696,M0002,56,Desktop,2025-04-22 07:26:29.413074
U0964,M0050,19,Smart TV,2025-04-18 22:06:04.301289
U0760,M0085,88,Console,2025-04-02 18:04:09.068885
U0602,M0056,176,Desktop,2025-04-24 23:29:30.129108
U0787,M0158,144,Tablet,2025-04-28 19:08:36.882852
U0914,M0054,13,Laptop,2025-04-23 10:31:59.862134
U0603,M0014,56,Console,2025-04-27 22:12:26.968403
U0688,M0008,43,Laptop,2025-04-24 13:01:03.706451
U0696,M0190,92,Tablet,2025-04-04 23:13:44.580308
U0628,M0062,175,Mobile,2025-04-18 11:41:17.522842
U0576,M0071,5,Console,2025-04-23 02:49:19.811150
U0341,M0175,68,Console,2025-04-13 06:27:55.325372
U0988,M0180,41,Console,2025-04-01 22:04:35.199396
U0117,M0194,100,Laptop,2025-04-21 14:28:44.141295
U0306,M0094,10,Tablet,2025-04-21 15:41:25.596581
U0847,M0138,61,Console,2025-04-29 22:07:31.586270
U0153,M0192,50,Desktop,2025-04-27 20:39:07.905710
U0199,M0180,95,Desktop,2025-04-17 12:26:04.066430
U0398,M0040,49,Mobile,2025-04-06 18:35:54.415226
U0880,M0184,173,Laptop,2025-04-17 18:17:12.835757
U0364,M0128,124,Desktop,2025-04-06 00:41:10.086938
U0961,M0174,40,Tablet,2025-04-24 16:17:08.176644
U0199,M0070,41,Desktop,2025-04-18 04:02:28.165286
U0246,M0007,154,Laptop,2025-04-11 20:55:15.510946
U0830,M0067,165,Console,2025-04-23 23:13:24.299976
U0678,M0068,5,Smart TV,2025-04-09 15:45:10.366514
U0064,M0189,46,Mobile,2025-04-28 13:27:22.992204
U0762,M0178,149,Desktop,2025-04-15 19:26:37.886683
U0053,M0062,81,Laptop,2025-04-14 07:30:04.547070
U0369,M0077,33,Mobile,2025-04-02 14:34:24.574181
U0266,M0043,140,Tablet,2025-04-17 14:53:53.802311
U0965,M0039,158,Laptop,2025-04-20 14:19:11.204134
U0506,M0066,88,Desktop,2025-04-11 00:20:28.114565
U0246,M0097,134,Desktop,2025-04-16 15:23:16.310149
U0160,M0193,155,Console,2025-04-16 07:51:11.107232
U0781,M0036,178,Desktop,2025-04-18 19:16:27.943045
U0425,M0045,50,Smart TV,2025-04-25 23:59:18.955356
U0923,M0090,91,Tablet,2025-04-18 23:57:23.812904
U0547,M0062,107,Console,2025-04-13 17:05:18.826382
U0522,M0025,96,Smart TV,2025-04-02 07:58:05.485407
U0450,M0005,33,Console,2025-04-23 05:14:06.784109
U0606,M0052,149,Desktop,2025-04-03 02:37:40.574451
U0792,M0055,170,Laptop,2025-04-04 14:42:57.229247
U0160,M0105,133,Tablet,2025-04-26 14:43:39.823271
U0625,M0098,123,Laptop,2025-04-05 02:38:32.601503
U0828,M0031,105,Smart TV,2025-04-11 15:19:56.953021
U0305,M0092,7,Desktop,2025-04-19 05:08:42.171301
U0556,M0142,148,Desktop,2025-04-01 17:52:42.492303
U0524,M0179,48,Desktop,2025-04-29 00:01:28.650990
U0396,M0115,79,Smart TV,2025-04-07 14:19:43.762118
U0564,M0127,112,Smart TV,2025-04-08 07:06:19.476744
U0987,M0007,49,Smart TV,2025-04-22 08:26:45.441586
U0832,M0173,176,Console,2025-04-05 04:55:13.799159
U0132,M0003,144,Laptop,2025-04-04 21:35:55.876392
U0033,M0171,147,Tablet,2025-04-03 19:30:49.284971
U0124,M0022,27,Mobile,2025-04-04 01:07:31.302455
U0982,M0085,114,Smart TV,2025-04-04 08:27:08.888638
U0548,M0012,72,Smart TV,2025-04-22 07:13:31.014762
U0563,M0143,73,Smart TV,2025-04-02 19:55:15.837840
U0302,M0065,76,Smart TV,2025-04-25 06:10:51.210260
U0553,M0059,13,Mobile,2025-04-05 07:22:25.047208
U0412,M0079,81,Mobile,2025-04-23 18:50:35.205849
U0582,M0155,154,Console,2025-04-02 23:05:44.763676
U0642,M0132,108,Tablet,2025-04-02 07:14:39.699855
U0128,M0021,159,Desktop,2025-04-16 17:20:12.587737
U0416,M0068,31,Smart TV,2025-04-17 01:35:54.122793
U0164,M0061,79,Desktop,2025-04-05 08:46:21.118951
U0287,M0151,161,Smart TV,2025-04-29 16:07:26.315116
U0308,M0082,87,Laptop,2025-04-23 17:05:43.210686
U0473,M0146,143,Desktop,2025-04-22 17:04:00.955916
U0825,M0074,104,Desktop,2025-04-24 21:21:08.397514
U0563,M0094,119,Desktop,2025-04-08 03:18:37.589538
U0987,M0198,78,Laptop,2025-04-09 21:51:51.319920
U0993,M0151,168,Laptop,2025-04-15 07:46:01.063011
U0225,M0149,85,Desktop,2025-04-09 19:22:46.204884
U0175,M0048,135,Mobile,2025-04-27 15:29:21.188837
U0467,M0174,68,Smart TV,2025-04-28 07:40:17.047206
U0643,M0188,50,Desktop,2025-04-24 01:00:19.663447
U0702,M0050,122,Desktop,2025-04-12 15:38:13.833739
U0075,M0063,103,Console,2025-04-18 19:24:54.949486
U0690,M0069,149,Laptop,2025-04-09 17:05:38.777859
U0822,M0061,76,Desktop,2025-04-18 23:40:23.336881
U0140,M0037,150,Console,2025-04-25 18:35:24.229581
U0523,M0014,105,Mobile,2025-04-11 04:14:04.098969
U0059,M0140,41,Laptop,2025-04-21 16:22:06.752691
